estacao,endereco,linha,linhaID
Estação Júlio Prestes,"R. Marquês de Itu – Vila Buarque",Linha 8-Diamante,8
Estação Palmeiras-Barra Funda,"Rua Bento Teobaldo Ferraz, 119 – Barra Funda",Linha 8-Diamante,8
Estação Lapa,"Lapa de Baixo, São Paulo",Linha 8-Diamante,8
Estação Domingo de Moraes,"Rua João Tibiriçá, Lapa",Linha 8-Diamante,8
Estação Imperatriz Leopoldina,"Av. Imperatriz Leopoldina, 1641 – Vila Leopoldina",Linha 8-Diamante,8
Estação Presidente Altino,"Industrial Autonomistas, Osasco",Linha 8-Diamante,8
Estação Osasco,"Centro, Osasco",Linha 8-Diamante,8
Estação Comandante Sampaio,"Av. dos Autonomistas, 4970",Linha 8-Diamante,8
Estação Quitaúna,"Av. dos Autonomistas – Km 18, Osasco",Linha 8-Diamante,8
Estação General Miguel Costa,"Av. dos Autonomistas – Km 18, Osasco",Linha 8-Diamante,8
Estação Carapicuíba,"Vila Gustavo Correia, Carapicuíba",Linha 8-Diamante,8
Estação Santa Teresinha,"Rua Dep. Emílio Carlos, 900",Linha 8-Diamante,8
Estação Antônio João,"Nova Aldeinha, Barueri",Linha 8-Diamante,8
Estação Barueri,"Centro, Barueri",Linha 8-Diamante,8
Estação Jardim Belval,"Vila Iracema, Barueri",Linha 8-Diamante,8
Estação Jardim Silveira,"Vila Iracema, Barueri",Linha 8-Diamante,8
Estação Jandira,"Av. João Balhesteiro, 2013 – Centro, Jandira",Linha 8-Diamante,8
Estação Sagrado Coração,"Jardim Alvorada, Jandira",Linha 8-Diamante,8
Estação Engenheiro Cardoso,"Jardim Dona Elvira, Itapevi",Linha 8-Diamante,8
Estação Itapevi,"R. João Pires de Oliveira, 51 – Nova Itapevi",Linha 8-Diamante,8
Estação Santa Rita,"Jardim Portela, Itapevi",Linha 8-Diamante,8
Estação Cimenrita,"Jardim Portela, Itapevi",Linha 8-Diamante,8
Estação Ambuitá,"Amador Bueno, Itapevi",Linha 8-Diamante,8
Estação Amador Bueno,"jardim Santo Antônio, Itapevi",Linha 8-Diamante,8
Estação Brás,Rua Domingos Paiva – Brás,Linha 7-Rubi,7
Estação Luz,"Praça da Luz, nº 1- Bom Retiro",Linha 7-Rubi,7
Estação Palmeiras Barra Funda,"Avenida Auro Soares de Moura Andrade, 664 (Barra Funda)",Linha 7-Rubi,7
Estação Água Branca,Avenida Santa Marina- Água Branca,Linha 7-Rubi,7
Estação Lapa,"Rua William Speers, nº 863",Linha 7-Rubi,7
Estação Piqueri,Rua José Peres Campelo – Piqueri,Linha 7-Rubi,7
Estação Pirituba,Rua Camarões- (Chácara Inglesa),Linha 7-Rubi,7
Estação Vila Clarice,Praça Comendador Souza Cruz – Jaraguá,Linha 7-Rubi,7
Estação Jaguará,"Estrada de Taipas, s/nº – Jaraguá",Linha 7-Rubi,7
Estação Vila Aurora,"Rua Francisco da Cunha Menezes, 1066 – Jardim Santa Lucrécia",Linha 7-Rubi,7
Estação Perus,Avenida Dr. Silvio de Campos-(Vila Perus),Linha 7-Rubi,7
Estação Caieiras,"Rodovia Tancredo de Almeida Neves, Km 34 – Centro – Caieiras",Linha 7-Rubi,7
Estação Franco da Rocha,"Rua Cavalheiro Ângelo Sestini, 200 (Vila Artur Sestini",Linha 7-Rubi,7
Estação Baltazar Fidélis,"Avenida Israel, s/nº (Vila Bela)/ Estrada da Paradinha,",Linha 7-Rubi,7
Estação Francisco Morato,"Rua Gerônimo Caetano Garcia, s/nº",Linha 7-Rubi,7
Estação Botujuru,"Rua Bela Vista, s/nº (Botujuru)",Linha 7-Rubi,7
Estação Campo Limpo Paulista,"Rua Felícia Pereira Pinto, s/nº (Vila Thomazina)",Linha 7-Rubi,7
Estação Várzea Paulista,"Rua Antônio Feres Sada, s/nº",Linha 7-Rubi,7
Estação Jundiaí,Avenida União dos Ferroviários s/nº – Ponte de Campinas,Linha 7-Rubi,7
Estação Osasco,Centro-Osasco,Linha 9-Esmeralda,9
Estação Presidente Altino,"Industrial Autonomistas, Osasco",Linha 9-Esmeralda,9
Estação Ceasa,"Vila Leopoldina, São Paulo",Linha 9-Esmeralda,9
Estação Villa-Lobos Jaguaré,"Vila Hamburguesa, São Paulo",Linha 9-Esmeralda,9
Estação Cidade Universitária,"Av. das Nações Unidas, 6200 – Pinheiros",Linha 9-Esmeralda,9
Estação Pinheiros,"R. Capri, 145 – Pinheiros",Linha 9-Esmeralda,9
Estação Hebraica-Rebouças,R. Ofélia – Pinheiros,Linha 9-Esmeralda,9
Estação Cidade Jardim,"R. Prof. Artur Ramos, 787 – Jardim Paulistano",Linha 9-Esmeralda,9
Estação Vila Olímpia,"Marginal Pinheiros, 7522 – Pinheiros",Linha 9-Esmeralda,9
Estação Berrini,"Jardim Panorama, São Paulo",Linha 9-Esmeralda,9
Estação Morumbi,"Avenida das Nações Unidas, 14.171 – Vila Gertrudes",Linha 9-Esmeralda,9
Estação Granja Julieta,"Retiro Morumbi, São Paulo",Linha 9-Esmeralda,9
Estação Santo Amaro,"Av. Guido Caloi, 2221 – Santo Amaro",Linha 9-Esmeralda,9
Estação Socorro,Largo do Socorro – Jardim São Luís,Linha 9-Esmeralda,9
Estação Jurubatuba,"Jurubatuba, São Paulo",Linha 9-Esmeralda,9
Estação Autódromo,"Interlagos, São Paulo",Linha 9-Esmeralda,9
Estação Primavera-Interlagos,"Parque Alto do Rio Bonito, São Paulo",Linha 9-Esmeralda,9
Estação Grajaú,"Parque Alto do Rio Bonito, São Paulo",Linha 9-Esmeralda,9
Estação Brás,​​Rua Domingos Paiva s/nº – Brás,Linha 10-Turquesa,10
Estação Juventus Mooca,"Avenida Presidente Wilson, 483",Linha 10-Turquesa,10
Estação Ipiranga,"Avenida Presidente Wilson, 3.473 (Vila Independência)",Linha 10-Turquesa,10
Estação Tamanduateí,"Rua Guamiranga, 600",Linha 10-Turquesa,10
Estação São Caetano do Sul,"Rua Serafim Constantino, 51",Linha 10-Turquesa,10
Estação Utinga,Avenida da Paz-Utinga,Linha 10-Turquesa,10
Estação Prefeito Saladino,Praça Armando Arruda,Linha 10-Turquesa,10
Estação Pref Celso Daniel-ABC,Rua Itambé- Santo André,Linha 10-Turquesa,10
Estação Capuava,"Avenida Padre Manoel da Nóbrega,- Capuava",Linha 10-Turquesa,10
Estação Mauá,Avenida Rio Branco,Linha 10-Turquesa,10
Estação Guapituba,Avenida Brasil,Linha 10-Turquesa,10
Estação Ribeirão Pires,Rua Capitão José Gallo,Linha 10-Turquesa,10
Estação Rio Grande da Serra,Rua Guilherme Pinto Monteiro,Linha 10-Turquesa,10
Estação Luz,"Praça da Luz, nº 1- Bom Retiro",linha 11-Coral,11
Estação Brás,Rua Domingos Paiva s/nº – Brás,linha 11-Coral,11
Estação Tatuapé,"Rua Catiguá, 174",linha 11-Coral,11
Estação Corinthians-Itaquera,"Rua do Contorno, 60 – Vila Campanela",linha 11-Coral,11
Estação Dom Bosco,"Rua Sábbado D’angelo, 1024",linha 11-Coral,11
Estação José Bonifácio,"Avenida Nagib Farah Maluf, 1500",linha 11-Coral,11
Estação Guaianazes,Avenida Salvador Gianetti – Guaianazes,linha 11-Coral,11
Estação Antônio Gianetti Netto,"Jardim Júlio de Carvalho, Ferraz de Vasconcelos",linha 11-Coral,11
Estação Ferraz de Vasconcelos,Praça da Independência – Centro,linha 11-Coral,11
Estação Poá,Rua Herculano Duarte Ribas,linha 11-Coral,11
Estação Calmon Viana,"Avenida Brasil, 1041",linha 11-Coral,11
Estação Suzano,"Av. Major Pinheiros Fróes, 55",linha 11-Coral,11
Estação Jundiapeba,"Rua Áurea Martins dos Anjos,",linha 11-Coral,11
Estação Brás Cubas,"Av. Anchieta, 1355",linha 11-Coral,11
Estação Mogi das Cruzes,Praça Sacadura Cabra,linha 11-Coral,11
Estação Estudantes,Rua Professor Álvaro Pavan,linha 11-Coral,11
Estação Brás,​​Rua Domingos Paiva s/nº – Brás,Linha 12-Safira,12
Estação Tatuapé,"Rua Catiguá, 174",Linha 12-Safira,12
Estação Engenheiro Goulart,"Av. Dr. Assis Ribeiro, 3470",Linha 12-Safira,12
Estação USP Leste,"Av. Dr. Assis Ribeiro, 6.081",Linha 12-Safira,12
Estação Comendador Ermelino,"Avenida Dr. Assis Ribeiro, 8.454",Linha 12-Safira,12
Estação São Miguel Paulista,"Rua Beraldo Marcondes, 136",Linha 12-Safira,12
Estação Jardim Helena,"Rua São Gonçalo do Rio das Pedras, 1.200",Linha 12-Safira,12
Estação Itaim Paulista,"Rua Rafael Correa da Silva, 13",Linha 12-Safira,12
Estação Jardim Romano,"Rua José Alvares Moreira, 349",Linha 12-Safira,12
Estação Eng Manoel Feio,Av. Eldorado- Vila Gepina,Linha 12-Safira,12
Estação Itaquaquecetuba,"Avenida Presidente Tancredo Neves, 746",Linha 12-Safira,12
Estação Aracaré,Rua Rio de Janeiro-Vila Miranda,Linha 12-Safira,12
Estação Calmon Viana,"Avenida Brasil, 1041",Linha 12-Safira,12
Estação Engenheiro Goulart,"Av. Dr. Assis Ribeiro, 3470",Linha 13-Jade,13
Estação Guarulhos,"Av. Natália Zarif, 460",Linha 13-Jade,13
Estação Aeroporto de Guarulhos,"Av. Marginal do Rio Baquirivu, 3300",Linha 13-Jade,13