id,estacao,endereco,linha,latitude,longitude,linhaID
3,JABAQUARA,"R. dos Jequitibás, 80",LINHA 1-AZUL,-23.646167,-46.641998,1
4,CONCEIÇÃO,"Av. Eng. Armando de Arruda Pereira, 919",LINHA 1-AZUL,-23.630702,-46.626284,1
5,SÃO JUDAS,"Av. Jabaquara, 2438",LINHA 1-AZUL,-23.627665,-46.648756,1
6,SAÚDE,"Av. Jabaquara, 1634",LINHA 1-AZUL,-23.610354,-46.638743,1
7,PRAÇA DA ÁRVORE,"Praça da Árvore, 39",LINHA 1-AZUL,-23.601094,-46.631801,1
8,SANTA CRUZ,"R. Domingos de Morais, 2564",LINHA 1-AZUL,-23.599506,-46.634803,1
9,VILA MARIANA,"Av. Prof. Noé Azevedo,  255",LINHA 1-AZUL,-23.587091,-46.634491,1
10,ANA ROSA,"R. Domingos de Morais, 505",LINHA 1-AZUL,-23.573978,-46.634252,1
11,VERGUEIRO,"R. Vergueiro, 790",LINHA 1-AZUL,-23.561485,-46.628221,1
12,SÃO JOAQUIM,"Av. Liberdade, 1033",LINHA 1-AZUL,-23.556994,-46.635642,1
13,JAPÃO-LIBERDADE,"Praça da Liberdade, 133",LINHA 1-AZUL,-23.553641,-46.631170,1
14,SÃO BENTO,"Largo São Bento, 109",LINHA 1-AZUL,-23.545264,-46.635573,1
15,LUZ,"Av. Prestes Maia, 925",LINHA 1-AZUL,-23.538605,-46.636232,1
16,TIRADENTES,"Av. Tiradentes,  551",LINHA 1-AZUL,-23.529573,-46.633999,1
17,ARMÊNIA,"R. Pedro Vicente, 47",LINHA 1-AZUL,-23.526186,-46.628358,1
18,PORTUGUESA-TIETÊ,"Av. Cruzeiro do Sul, 1777",LINHA 1-AZUL,-23.514349,-46.622612,1
19,CARANDIRU,"Av. Cruzeiro do Sul, 2487",LINHA 1-AZUL,-23.505438,-46.623499,1
20,SANTANA,"Av. Cruzeiro do Sul, 3173",LINHA 1-AZUL,-23.494991,-46.622735,1
21,"JARDIM SÃO PAULO-AYRTON SENNA","Av. Leôncio de Magalhães, 1000",LINHA 1-AZUL,-23.486777,-46.613374,1
22,PARADA INGLESA,"Av. Luiz Dumont Villares, 1721",LINHA 1-AZUL,-23.480319,-46.608477,1
23,TUCURUVI,"Av. Dr. Antônio Maria de Laet,100",LINHA 1-AZUL,-23.475062,-46.605103,1
24,LUZ,"Praça da Luz, 1",LINHA 1-AZUL,-23.533566,-46.634672,1
25,TRIANON-MASP,"Av. Paulista, 1578",LINHA 2-VERDE,-23.563109,-46.654724,2
26,VILA PRUDENTE,"Av. Prof. Luiz Inácio de Anhaia Mello, 1359",LINHA 2-VERDE,-23.585683,-46.608836,2
27,TAMANDUATEÍ,"Av. Presidente Wilson, 4841",LINHA 2-VERDE,-23.592721,-46.590228,2
28,SACOMÃ,"R. Greenfeld, entre as ruas Bom Pastor e Agostinho Gomes",LINHA 2-VERDE,-23.596156,-46.585255,2
29,ALTO DO IPIRANGA,"R. Dr. Gentil de Moura, 217",LINHA 2-VERDE,-23.587085,-46.582234,2
30,SANTOS-IMIGRANTES,"Av. Dr. Ricardo Jafet, 2500",LINHA 2-VERDE,-23.589641,-46.600664,2
31,CHÁCARA-KLABIN,"R. Vergueiro, 3800",LINHA 2-VERDE,-23.589426,-46.612138,2
32,PARAÍSO,"R. Vergueiro, 1456",LINHA 2-VERDE,-23.568416,-46.641844,2
33,BRIGADEIRO,"Av. Paulista, s/nº (alt. nº  447)",LINHA 2-VERDE,-23.5701,-46.6483,2
34,TRIANON-MASP,"Av. Paulista, s/nº (alt. nº 1485)",LINHA 2-VERDE,-23.563281,-46.654728,2
35,CONSOLAÇÃO,"Av. Paulista, s/nº (alt. nº 2163)",LINHA 2-VERDE,-23.55741590905417,-46.66061337675748,2
36,CLÍNICAS,"Av. Dr. Arnaldo, 555",LINHA 2-VERDE,-23.557945,-46.668905,2
37,"SANTUÁRIO N.SRA  DE FÁTIMA-SUMARÉ","Av. Dr. Arnaldo, 1470",LINHA 2-VERDE,-23.551792,-46.675169,2
38,VILA MADALENA,"Praça Américo Jacomino, 30",LINHA 2-VERDE,-23.547257,-46.695884,2
39,CORINTHIANS-ITAQUERA,"Av. Projetada, 1900",LINHA 3-VERMELHA,-23.530479,-46.474516,3
40,ARTUR ALVIM,"R. Dr. Luiz Ayres, 1800",LINHA 3-VERMELHA,-23.533685,-46.472059,3
41,PATRIARCA-VILA RÉ,"Av. Antônio Estevan Carvalho, 1990",LINHA 3-VERMELHA,-23.536138,-46.458847,3
42,GUILHERMINA-ESPERANÇA,"R. Astorga, 800",LINHA 3-VERMELHA,-23.540499,-46.454741,3
43,VILA MATILDE,"R. Cel. Pedro Dias de Campos, 1173",LINHA 3-VERMELHA,-23.544134,-46.475592,3
44,PENHA,"Av. Conde Frontim, s/nº",LINHA 3-VERMELHA,-23.545208,-46.503327,3
45,CARRÃO,"Av. Radial Leste esquina com R. Apucarana",LINHA 3-VERMELHA,-23.542838,-46.543685,3
46,TATUAPÉ,"R. Melo Freire esquina com R. Tuiutí",LINHA 3-VERMELHA,-23.537515,-46.544674,3
47,BELÉM,"Av. Alcântara Machado, s/nº",LINHA 3-VERMELHA,-23.538858,-46.561097,3
48,BRESSER-MOOCA,"R. do Hipodromo, s/nº",LINHA 3-VERMELHA,-23.549099,-46.570086,3
49,BRÁS,"R. Domingos Paiva, s/nº",LINHA 3-VERMELHA,-23.547288,-46.609112,3
50,PEDRO II,"R. da Figueira, s/nº",LINHA 3-VERMELHA,-23.549949,-46.629233,3
51,SÉ,"Praça da Sé, s/nº",LINHA 3-VERMELHA,-23.5505,-46.6333,3
52,ANHANGABAÚ,"R. Formosa, s/nº",LINHA 3-VERMELHA,-23.545918,-46.644806,3
53,REPÚBLICA,"R. do Arouche, 24",LINHA 3-VERMELHA,-23.548833,-46.642585,3
54,MARECHAL DEODORO,"Praça Marechal Deodoro, s/nº",LINHA 3-VERMELHA,-23.542974,-46.653415,3
55,SANTA CECÍLIA,"Largo Santa Cecília, s/nº",LINHA 3-VERMELHA,-23.548575,-46.654651,3
56,PALMEIRAS-BARRA FUNDA,"R. Bento Teobaldo Ferraz, 119",LINHA 3-VERMELHA,-23.5221,-46.6675,3
57,VILA PRUDENTE,"Av. Prof. Luiz Ignácio de Anhaia Mello, 1359",LINHA 15-PRATA,-23.5951,-46.6006,5
58,ORATÓRIO,"Av. do Oratório, 165",LINHA 15-PRATA,-23.5953,-46.6044,5
59,SÃO LUCAS,"Av. Prof. Luiz Ignácio de Anhaia Mello, 5345",LINHA 15-PRATA,-23.6143,-46.6029,5
60,CAMILO HADDAD,"Av. Prof. Luiz Ignácio de Anhaia Mello, 6620",LINHA 15-PRATA,-23.6271,-46.6102,5
61,VILA TOSTÓI,"Av. Prof. Luiz Ignácio de Anhaia Mello, 7712",LINHA 15-PRATA,-23.6345,-46.6176,5
62,VILA UNIÃO,"Av. Prof. Luiz Ignácio de Anhaia Mello, 9109",LINHA 15-PRATA,-23.6421,-46.6267,5
63,JARDIM PLANALTO,"Av. Sapopemba, 9930",LINHA 15-PRATA,-23.6568,-46.6420,5
64,SAPOPEMBA,"Av. Sapopemba, 11260",LINHA 15-PRATA,-23.6678,-46.6498,5
65,FAZENDA DA JUTA,"Av. Sapopemba, 12780",LINHA 15-PRATA,-23.6798,-46.6567,5
66,SÃO MATEUS,"Av. Sapopemba, 15126",LINHA 15-PRATA,-23.6898,-46.6643,5
67,BUTANTÃ,"Av. Vital Brasil, 427",LINHA 4-AMARELA,-23.57161977268983, -46.708163606945014,4
68,PINHEIROS,"Largo da Batata",LINHA 4-AMARELA,-23.567882,-46.701760,4
69,FRADIQUE COUTINHO,"R. dos Pinheiros, 789",LINHA 4-AMARELA,-23.565950829739872, -46.6842272051001,4
70,OSCAR FREIRE,"Av. Rebouças, 2500",LINHA 4-AMARELA,-23.55991750175105, -46.67213319477096,4
71,PAULISTA,"Av. Paulista, 2355",LINHA 4-AMARELA,-23.55505991181358, -46.66202807626545,4
72,HIGIENÓPOLIS-MACKENZIE,"Rua da Consolação, 243",LINHA 4-AMARELA,-23.550328,-46.648852,4
73,REPÚBLICA,"Praça da República, s/nº",LINHA 4-AMARELA,-23.543915,-46.640200,4
74,LUZ,"Praça da Luz, 1",LINHA 4-AMARELA,-23.534805,-46.633316,4
75,FARIA LIMA,"Pinheiros",LINHA 4-AMARELA,-23.56719796390153, -46.693279462770136,4
