,id,estacao,endereco,linha,latitude,longitude,linhaID
0,3,JABAQUARA,"R. dos Jequitibás, 80",LINHA 1-AZUL,-23.6465719,-46.6423157,1
1,4,CONCEIÇÃO,"Av. Eng. Armando de Arruda Pereira, 919",LINHA 1-AZUL,-23.6353726,-46.6411072,1
2,5,SÃO JUDAS,"Av. Jabaquara, 2438",LINHA 1-AZUL,-23.6255275,-46.6411003,1
3,6,SAÚDE,"Av. Jabaquara, 1634",LINHA 1-AZUL,-23.6184283,-46.6394432,1
4,7,PRAÇA DA ÁRVORE,"Praça da Árvore, 39",LINHA 1-AZUL,-23.6108446,-46.6376181,1
5,8,SANTA CRUZ,"R. Domingos de Morais, 2564",LINHA 1-AZUL,-23.59909,-46.6372072,1
6,9,VILA MARIANA,"Av. Prof. Noé Azevedo,  255",LINHA 1-AZUL,-23.5887382,-46.63439959999999,1
7,10,ANA ROSA,"R. Domingos de Morais, 505",LINHA 1-AZUL,-23.5814317,-46.6388501,1
8,11,VERGUEIRO,"R. Vergueiro, 790",LINHA 1-AZUL,-23.5689151,-46.6400776,1
9,12,SÃO JOAQUIM,"Av. Liberdade, 1033",LINHA 1-AZUL,,,1
10,13,JAPÃO-LIBERDADE,"Praça da Liberdade, 133",LINHA 1-AZUL,-19.932219,-43.937234,1
11,14,SÃO BENTO,"Largo São Bento, 109",LINHA 1-AZUL,-23.5441728,-46.63409679999999,1
12,15,LUZ,"Av. Prestes Maia, 925",LINHA 1-AZUL,-23.5364878,-46.633851,1
13,16,TIRADENTES,"Av. Tiradentes,  551",LINHA 1-AZUL,-23.530831,-46.6325223,1
14,17,ARMÊNIA,"R. Pedro Vicente, 47",LINHA 1-AZUL,-23.5251598,-46.6287591,1
15,18,PORTUGUESA-TIETÊ,"Av. Cruzeiro do Sul, 1777",LINHA 1-AZUL,-23.5153918,-46.6254476,1
16,19,CARANDIRU,"Av. Cruzeiro do Sul, 2487",LINHA 1-AZUL,-23.5091475,-46.6251645,1
17,20,SANTANA,"Av. Cruzeiro do Sul, 3173",LINHA 1-AZUL,-23.5027387,-46.6251067,1
18,21,JARDIM SÃO PAULO-AYRTON SENNA,"Av. Leôncio de Magalhães, 1000",LINHA 1-AZUL,-23.4923919,-46.6176651,1
19,22,PARADA INGLESA,"Av. Luiz Dumont Villares, 1721",LINHA 1-AZUL,-23.4871,-46.6092495,1
20,23,TUCURUVI,"Av. Dr. Antônio Maria de Laet,100",LINHA 1-AZUL,-23.480264567496388, -46.603725463108475,1
21,24,LUZ,"Praça da Luz, 1",LINHA 1-AZUL,,,1
22,25,TRIANON-MASP,"Av. Paulista, 1578",LINHA 2-VERDE,-23.56346524467919, -46.65378086416967,2
23,26,VILA PRUDENTE,"Av. Prof. Luiz Inácio de Anhaia Mello, 1359",LINHA 2-VERDE,-23.5843984,-46.5819068,2
24,27,TAMANDUATEÍ,"Av. Presidente Wilson, 4841",LINHA 2-VERDE,-23.5930252,-46.58972809999999,2
25,28,SACOMÃ,"R. Greenfeld, entre as ruas Bom Pastor e Agostinho Gomes",LINHA 2-VERDE,,,2
26,29,ALTO DO IPIRANGA,"R. Dr. Gentil de Moura, 217",LINHA 2-VERDE,-23.6024502,-46.612751,2
27,30,SANTOS-IMIGRANTES,"Av. Dr. Ricardo Jafet, 2500",LINHA 2-VERDE,-23.5968305,-46.62265619999999,2
28,31,CHÁCARA-KLABIN,"R. Vergueiro, 3800",LINHA 2-VERDE,-23.593024,-46.63032870000001,2
29,32,PARAÍSO,"R. Vergueiro, 1456",LINHA 2-VERDE,-23.5748973,-46.6407641,2
30,33,BRIGADEIRO,"Av. Paulista, s/nº (alt. nº  447)",LINHA 2-VERDE,-23.5613545,-46.6564943,2
31,34,TRIANON-MASP,"Av. Paulista, s/nº (alt. nº 1485)",LINHA 2-VERDE,-23.5613545,-46.6564943,2
32,35,CONSOLAÇÃO,"Av. Paulista, s/nº (alt. nº 2163)",LINHA 2-VERDE,-23.557535681132016, -46.660523674730456,2
33,36,CLÍNICAS,"Av. Dr. Arnaldo, 555",LINHA 2-VERDE,-23.5543572,-46.670534,2
34,37,SANTUÁRIO N.SRA  DE FÁTIMA-SUMARÉ,"Av. Dr. Arnaldo, 1470",LINHA 2-VERDE,-23.5504192,-46.6779933,2
35,38,VILA MADALENA,"Praça Américo Jacomino, 30",LINHA 2-VERDE,-23.5468407,-46.6909012,2
36,39,CORINTHIANS-ITAQUERA,"Av. Projetada, 1900",LINHA 3-VERMELHA,,,3
37,40,ARTUR ALVIM,"R. Dr. Luiz Ayres, 1800",LINHA 3-VERMELHA,-23.5431349,-46.4728595,3
38,41,PATRIARCA-VILA RÉ,"Av. Antônio Estevan Carvalho, 1990",LINHA 3-VERMELHA,,,3
39,42,GUILHERMINA-ESPERANÇA,"R. Astorga, 800",LINHA 3-VERMELHA,,,3
40,43,VILA MATILDE,"R. Cel. Pedro Dias de Campos, 1173",LINHA 3-VERMELHA,-23.5326411,-46.531007,3
41,44,PENHA,"Av. Conde Frontim, s/nº",LINHA 3-VERMELHA,-23.5334571,-46.5402103,3
42,45,CARRÃO,Av. Radial Leste esquina com R. Apucarana,LINHA 3-VERMELHA,-23.532303,-46.5289009,3
43,46,TATUAPÉ,R. Melo Freire esquina com R. Tuiutí,LINHA 3-VERMELHA,-23.5391591,-46.5695219,3
44,47,BELÉM,"Av. Alcântara Machado, s/nº",LINHA 3-VERMELHA,-23.54257687761224, -46.58959241763791,3
45,48,BRESSER-MOOCA,"R. do Hipodromo, s/nº",LINHA 3-VERMELHA,,,3
46,49,BRÁS,"R. Domingos Paiva, s/nº",LINHA 3-VERMELHA,-23.5467125,-46.6160144,3
47,50,PEDRO II,"R. da Figueira, s/nº",LINHA 3-VERMELHA,,,3
48,51,SÉ,"Praça da Sé, s/nº",LINHA 3-VERMELHA,,,3
49,52,ANHANGABAÚ,"R. Formosa, s/nº",LINHA 3-VERMELHA,,,3
50,53,REPÚBLICA,"R. do Arouche, 24",LINHA 3-VERMELHA,-23.5430229,-46.6439621,3
51,54,MARECHAL DEODORO,"Praça Marechal Deodoro, s/nº",LINHA 3-VERMELHA,,,3
52,55,SANTA CECÍLIA,"Largo Santa Cecília, s/nº",LINHA 3-VERMELHA,,,3
53,56,PALMEIRAS-BARRA FUNDA,"R. Bento Teobaldo Ferraz, 119",LINHA 3-VERMELHA,-23.5237576,-46.6664888,3
54,57,VILA PRUDENTE,"Av. Prof. Luiz Ignácio de Anhaia Mello, 1359",LINHA 15-PRATA,-23.6727651,-46.4959138,5
55,58,ORATÓRIO,"Av. do Oratório, 165",LINHA 15-PRATA,-23.5826504,-46.5619506,5
56,59,SÃO LUCAS,"Av. Prof. Luiz Ignácio de Anhaia Mello, 5345",LINHA 15-PRATA,-23.5887654,-46.5444568,5
57,60,CAMILO HADDAD,"Av. Prof. Luiz Ignácio de Anhaia Mello, 6620",LINHA 15-PRATA,-23.5967472,-46.5367494,5
58,61,VILA TOSTÓI,"Av. Prof. Luiz Ignácio de Anhaia Mello, 7712",LINHA 15-PRATA,-23.6011333,-46.5271397,5
59,62,VILA UNIÃO,"Av. Prof. Luiz Ignácio de Anhaia Mello, 9109",LINHA 15-PRATA,-23.6028422,-46.5147342,5
60,63,JARDIM PLANALTO,"Av. Sapopemba, 9930",LINHA 15-PRATA,-23.6063912,-46.5080177,5
61,64,SAPOPEMBA,"Av. Sapopemba, 11260",LINHA 15-PRATA,-23.6148349,-46.5004889,5
62,65,FAZENDA DA JUTA,"Av. Sapopemba, 12780",LINHA 15-PRATA,-23.6104125,-46.4847113,5
63,66,SÃO MATEUS,"Av. Sapopemba, 15126",LINHA 15-PRATA,-23.6207217,-46.4664338,5
64,67,BUTANTÃ,"Av. Vital Brasil, 427",LINHA 4-AMARELA,-23.57161977268983, -46.708163606945014,4
65,68,PINHEIROS,"Largo da Batata",LINHA 4-AMARELA,-23.567882,-46.701760,4
66,69,FRADIQUE COUTINHO,"R. dos Pinheiros, 789",LINHA 4-AMARELA,-23.565950829739872, -46.6842272051001,4
67,70,OSCAR FREIRE,"Av. Rebouças, 2500",LINHA 4-AMARELA,-23.55991750175105, -46.67213319477096,4
67,71,PAULISTA,"Av. Paulista, 2355",LINHA 4-AMARELA,-23.55505991181358, -46.66202807626545,4
68,72,HIGIENÓPOLIS-MACKENZIE,"Rua da Consolação, 243",LINHA 4-AMARELA,-23.550328,-46.648852,4
69,73,REPÚBLICA,"Praça da República, s/nº",LINHA 4-AMARELA,-23.543915,-46.640200,4
70,74,LUZ,"Praça da Luz, 1",LINHA 4-AMARELA,-23.534805,-46.633316,4
71,75,FARIA LIMA,"Pinheiros",LINHA 4-AMARELA,-23.56719796390153, -46.693279462770136,4